country,continent,confirmed,death,recover,active,serious,total_cases_per_1m_population,total_deaths_per_1m_population,population
Afghanistan,Asia,179267,7690,162202,9375,1124,4420,190,40560636
Albania,Europe,275574,3497,271826,251,2,95954,1218,2871945
Algeria,Africa,265816,6875,178371,80570,6,5865,152,45325517
Andorra,Europe,42156,153,41021,982,14,543983,1974,77495
Angola,Africa,99194,1900,97149,145,,2853,55,34769277
Anguilla,North America,2984,9,2916,59,4,195646,590,15252
Antigua And Barbuda,North America,7721,137,7511,73,1,77646,1378,99439
Argentina,South America,9101319,128729,8895999,76591,372,197992,2800,45968174
Armenia,Asia,422896,8623,412048,2225,,142219,2900,2973558
Aruba,North America,35693,213,35199,281,,331689,1979,107610
Australia,Australia/Oceania,6593795,7794,6199822,386179,129,253112,299,26050899
Austria,Europe,4212492,18303,4135885,58304,58,462804,2011,9102106
Azerbaijan,Asia,792638,9709,782869,60,,76885,942,10309383
Bahamas,North America,33871,801,32488,582,,84626,2001,400242
Bahrain,Asia,576997,1479,569758,5760,4,318491,816,1811659
Bangladesh,Asia,1953012,29127,1899419,24466,1273,11643,174,167745162
Barbados,North America,76261,433,71497,4331,,264768,1503,288030
Belarus,Europe,982867,6978,,,,104078,739,9443535
Belgium,Europe,4116397,31613,3941350,143434,117,352324,2706,11683561
Belize,North America,57896,676,56761,459,6,140843,1644,411069
Benin,Africa,26952,163,25506,1283,5,2120,13,12714341
Bermuda,North America,14135,135,13664,336,,228537,2183,61850
Bhutan,Asia,59570,21,59491,58,,75651,27,787432
Bolivia,South America,906146,21943,863665,20538,220,75704,1833,11969554
Bosnia And Herzegovina,Europe,377511,15778,,,,116414,4866,3242823
Botswana,Africa,306324,2690,303026,608,1,125541,1102,2440037
Brazil,South America,30682094,664920,29718402,298772,8318,142460,3087,215373503
British Virgin Islands,North America,6573,62,,,1,214762,2026,30606
Brunei Darussalam,Asia,144659,220,142788,1651,,324871,494,445281
Bulgaria,Europe,1161504,37045,1014302,110157,54,169536,5407,6851060
Burkina Faso,Africa,20853,382,20439,32,,949,17,21970296
Burundi,Africa,41235,38,,,,3286,3,12549999
Cabo Verde,Africa,56105,401,55613,91,23,98910,707,567234
Cambodia,Asia,136262,3056,133194,12,,7945,178,17149867
Cameroon,Africa,119780,1927,117791,62,13,4312,69,27776053
Canada,North America,3821346,40228,3499564,281554,423,99622,1049,38358465
Caribbean Netherlands,North America,9915,35,9829,51,,371668,1312,26677
Cayman Islands,North America,23578,28,8553,14997,1,351077,417,67159
Central African Republic,Africa,14649,113,6859,7677,2,2938,23,4986136
Chad,Africa,7414,193,4874,2347,,428,11,17303260
Channel Islands,Europe,75275,173,74574,528,,425648,978,176848
Chile,South America,3605522,57722,3468131,79669,159,185643,2972,19421812
China Hong Kong Sar,Asia,1208506,9361,,,5,158800,1230,7610260
China Macao Sar,Asia,82,,82,0,,123,,665819
China,Asia,221804,5209,210454,6141,383,154,4,1439323776
Colombia,South America,6095316,139821,5928829,26666,342,117459,2694,51892950
Comoros,Africa,8100,160,7933,7,,8959,177,904091
Congo,Africa,24079,385,20178,3516,,4172,67,5770949
Cook Islands,Australia/Oceania,5410,1,5291,118,,307491,57,17594
Costa Rica,North America,866164,8444,841683,16037,48,167189,1630,5180753
Cote D Ivoire,Africa,81989,799,81168,22,,2971,29,27594347
Croatia,Europe,1131450,15930,1111405,4115,15,278811,3925,4058130
Cuba,North America,1104589,8529,1095534,526,23,97633,754,11313741
Curacao,North America,43017,275,42203,539,3,260168,1663,165343
Cyprus,Asia,477711,1032,124370,352309,60,390374,843,1223728
Czech Republic,Europe,3915847,40245,3871654,3948,14,364401,3745,10745981
Dem. Rep. Congo,Africa,87023,1337,50930,34756,,920,14,94629737
Denmark,Europe,2976667,6287,2960386,9994,12,510561,1078,5830190
Djibouti,Africa,15631,189,15427,15,,15404,186,1014756
Dominica,North America,12685,63,12323,299,,175403,871,72319
Dominican Republic,North America,580412,4376,575583,453,1,52524,396,11050510
Ecuador,South America,872268,35607,,,759,48080,1963,18141962
Egypt,Africa,515645,24613,442182,48850,122,4868,232,105928386
El Salvador,North America,162089,4129,150662,7298,8,24757,631,6547158
Equatorial Guinea,Africa,15910,183,15701,26,5,10687,123,1488778
Eritrea,Africa,9745,103,9632,10,,2679,28,3637828
Estonia,Europe,573922,2556,514836,56530,3,432106,1924,1328196
Ethiopia,Africa,470937,7510,455757,7670,8,3916,62,120265111
Faeroe Islands,Europe,34658,28,7693,26937,5,704302,569,49209
Falkland Islands Malvinas,South America,1126,,,,,306896,,3669
Fiji,Australia/Oceania,64773,862,62875,1036,,71293,949,908543
Finland,Europe,1069740,4284,,,21,192512,771,5556750
France,Europe,29160802,147257,28156674,856871,1329,444914,2247,65542502
French Guiana,South America,81784,397,11254,70133,1,261212,1268,313094
French Polynesia,Australia/Oceania,72821,649,,,7,256473,2286,283932
Gabon,Africa,47608,304,47297,7,,20490,131,2323511
Gambia,Africa,11999,365,11591,43,,4718,144,2543054
Georgia,Asia,1655221,16811,1637293,1117,,416417,4229,3974908
Germany,Europe,25780226,137919,23956700,1685607,1279,305877,1636,84282880
Ghana,Africa,161280,1445,159788,47,1,4996,45,32280617
Gibraltar,Europe,18129,102,16579,1448,,538400,3029,33672
Greece,Europe,3392575,29547,3306014,57014,176,328475,2861,10328255
Greenland,North America,11971,21,2761,9189,4,210191,369,56953
Grenada,North America,16344,221,14634,1489,4,144008,1947,113494
Guadeloupe,North America,140130,854,2250,137026,19,350105,2134,400251
Guatemala,North America,851877,17792,831794,2291,5,45966,960,18532670
Guinea Bissau,Africa,8222,171,8010,41,6,4002,83,2054599
Guinea,Africa,36597,442,36113,42,8,2653,32,13795931
Guyana,South America,63804,1228,62301,275,,80396,1547,793621
Haiti,North America,30713,835,29605,273,,2634,72,11661401
Holy See,Europe,29,,29,0,,36025,,805
Honduras,North America,424390,10896,132358,281136,105,41615,1068,10197959
Hungary,Europe,1909948,46343,1821435,42170,29,198649,4820,9614673
Iceland,Europe,186545,120,,,,540134,347,345368
India,Asia,43121599,524214,42579693,17692,698,30686,373,1405273033
Indonesia,Asia,6050776,156458,5889534,4784,2771,21694,561,278910317
Iran,Asia,7228051,141224,7020835,65992,737,84052,1642,85995095
Iraq,Asia,2326458,25216,2299985,1257,10,55520,602,41902979
Ireland,Europe,1535451,7203,1499879,28369,28,304622,1429,5040509
Isle Of Man,Europe,28416,105,26794,1517,,330915,1223,85871
Israel,Asia,4106793,10749,4081150,14894,150,440360,1153,9326000
Italy,Europe,17057873,165244,15894511,998118,347,282901,2741,60296265
Jamaica,North America,131980,2995,84883,44102,,44211,1003,2985238
Japan,Asia,8338211,30039,7951587,356585,139,66305,239,125755488
Jordan,Asia,1694216,14048,1678941,1227,124,163034,1352,10391780
Kazakhstan,Asia,1305636,13661,1291669,306,24,68020,712,19194987
Kenya,Africa,324026,5649,318142,235,,5789,101,55976553
Kiribati,Australia/Oceania,3093,13,2602,478,3,25175,106,122862
Kuwait,Asia,632074,2555,629114,405,3,144040,582,4388186
Kyrgyzstan,Asia,200993,2991,196406,1596,131,29889,445,6724638
Laos,Asia,209386,754,,,,28022,101,7472169
Latvia,Europe,825699,5798,816253,3648,6,446957,3139,1847378
Lebanon,Asia,1097956,10407,1084853,2696,186,162215,1538,6768532
Lesotho,Africa,32910,697,24155,8058,,15139,321,2173878
Liberia,Africa,7451,294,5747,1410,2,1411,56,5278999
Libya,Africa,501904,6430,490973,4501,101,71240,913,7045301
Liechtenstein,Europe,17347,84,17192,71,1,452546,2191,38332
Lithuania,Europe,1060619,9127,1032609,18883,11,399994,3442,2651588
Luxembourg,Europe,244182,1073,235939,7170,,378610,1664,644943
Macedonia,Europe,310684,9289,300761,634,,149137,4459,2083215
Madagascar,Africa,64236,1393,59370,3473,14,2214,48,29016291
Malawi,Africa,85887,2636,82703,548,67,4284,131,20050211
Malaysia,Asia,4475873,35612,4409159,31102,47,135067,1075,33138284
Maldives,Asia,179483,298,163687,15498,25,321497,534,558272
Mali,Africa,31003,733,30088,182,,1453,34,21336613
Malta,Europe,93508,713,90076,2719,4,210730,1607,443733
Marshall Islands,Australia/Oceania,17,,14,3,,284,,59934
Martinique,North America,153253,926,104,152223,8,408977,2471,374723
Mauritania,Africa,58840,982,57708,150,,12064,201,4877181
Mauritius,Africa,37843,996,36183,664,,29665,781,1275698
Mayotte,Africa,37363,187,2964,34212,,131066,656,285070
Mexico,North America,5745652,324465,5044893,376294,4798,43708,2468,131455607
Micronesia,Australia/Oceania,7,,1,6,,60,,117269
Moldova,Europe,516986,11489,504142,1355,49,128715,2860,4016504
Monaco,Europe,12004,54,11866,84,4,301911,1358,39760
Mongolia,Asia,469885,2179,313256,154450,192,139159,645,3376601
Montenegro,Europe,236277,2719,232955,603,6,376109,4328,628214
Montserrat,North America,747,2,390,355,,149460,400,4998
Morocco,Africa,1165795,16071,1149054,670,293,30902,426,37725337
Mozambique,Africa,225493,2201,223190,102,13,6857,67,32885526
Myanmar,Asia,613140,19434,592089,1617,,11130,353,55089133
Namibia,Africa,160074,4028,153662,2384,,60944,1534,2626590
Nauru,Australia/Oceania,8,,5,3,,731,,10951
Nepal,Asia,978998,11952,966904,142,,32511,397,30112649
Netherlands,Europe,8067116,22292,7989151,55673,55,468869,1296,17205480
New Caledonia,Australia/Oceania,61049,312,60339,398,9,210072,1074,290610
New Zealand,Australia/Oceania,1043683,923,989005,53755,,208649,185,5002100
Nicaragua,North America,18491,225,4225,14041,,2731,33,6771338
Niger,Africa,9013,310,8579,124,1,349,12,25837472
Nigeria,Africa,255859,3143,249943,2773,11,1186,15,215651424
Niue,Australia/Oceania,9,,9,0,,5464,,1647
Norway,Europe,1429717,3061,,,20,259940,557,5500191
Oman,Asia,389408,4260,384592,556,2,72808,796,5348410
Pakistan,Asia,1529249,30376,1494141,4732,109,6681,133,228878790
Palau,Australia/Oceania,4879,6,4166,707,1,267269,329,18255
Panama,North America,806277,8203,773421,24653,16,181543,1847,4441253
Papua New Guinea,Australia/Oceania,43876,651,43200,25,7,4737,70,9262605
Paraguay,South America,649718,18872,624673,6173,2,89055,2587,7295705
Peru,South America,3571919,213023,,,248,105593,6297,33827210
Philippines,Asia,3687922,60455,3624459,3008,289,32841,538,112297269
Poland,Europe,6003436,116207,5335112,552117,981,158950,3077,37769420
Portugal,Europe,4066674,22583,,,61,400999,2227,10141346
Qatar,Asia,366179,677,364474,1028,1,130415,241,2807805
Reunion,Africa,405980,762,395430,9788,10,447503,840,907212
Romania,Europe,2903072,65612,,,138,152803,3453,18998751
Russia,Europe,18260293,377670,17647179,235444,2300,125027,2586,146050996
Rwanda,Africa,129907,1459,45522,82926,,9587,108,13549956
Saint Barthelemy,North America,4611,6,,,,464210,604,9933
Saint Helena,Africa,2,,2,0,,327,,6111
Saint Kitts And Nevis,North America,5605,43,5547,15,,103989,798,53900
Saint Lucia,North America,24267,368,23277,622,1,131038,1987,185190
Saint Martin,North America,10602,63,1399,9140,7,265754,1579,39894
Saint Pierre And Miquelon,North America,2739,1,2449,289,1,477095,174,5741
Saint Vincent And The Grenadines,North America,6799,106,6641,52,,60925,950,111596
Samoa,Australia/Oceania,11313,24,1605,9684,4,56320,119,200869
San Marino,Europe,16852,115,16454,283,4,494716,3376,34064
Sao Tome And Principe,Africa,5970,73,5891,6,,26330,322,226737
Saudi Arabia,Asia,759226,9116,743921,6189,61,21194,254,35823522
Senegal,Africa,86039,1966,84059,14,,4898,112,17565349
Serbia,Europe,2012836,16049,1988209,8578,12,232112,1851,8671838
Seychelles,Africa,43235,167,42553,515,,434606,1679,99481
Sierra Leone,Africa,7682,125,,,,928,15,8279028
Singapore,Asia,1240233,1362,1162140,76731,8,208933,229,5936034
Sint Maarten,North America,10123,86,9985,52,10,231208,1964,43783
Slovakia,Europe,1787093,20041,1761664,5388,30,327033,3667,5464567
Slovenia,Europe,1019468,6622,1003559,9287,9,490254,3184,2079470
Solomon Islands,Australia/Oceania,18174,146,16357,1671,2,25303,203,718243
Somalia,Africa,26518,1350,13182,11986,,1586,81,16718643
South Africa,Africa,3887449,100753,3708347,78349,192,64042,1660,60701292
South Korea,Asia,17782061,23709,,,338,346282,462,51351355
South Sudan,Africa,17525,138,13514,3873,1,1532,12,11438136
Spain,Europe,12127122,105444,11548089,473589,339,259190,2254,46788503
Sri Lanka,Asia,663671,16511,646921,239,,30753,765,21580463
State Of Palestine,Asia,582119,5353,576684,82,17,109376,1006,5322203
Sudan,Africa,62161,4936,,,,1359,108,45755378
Suriname,South America,80008,1337,49455,29216,,134147,2242,596421
Swaziland,Africa,71698,1402,69549,747,11,60631,1186,1182536
Sweden,Europe,2504894,18864,2477725,8305,9,245180,1846,10216549
Switzerland,Europe,3631881,13882,3551493,66506,78,414008,1582,8772500
Syria,Asia,55869,3150,52479,240,,3054,172,18292142
Taiwan,Asia,768543,1068,60634,706841,,32161,45,23897056
Tajikistan,Asia,17388,124,17264,0,,1750,12,9936493
Tanzania,Africa,35354,840,,,7,562,13,62901456
Thailand,Asia,4373846,29475,4273599,70772,1496,62371,420,70126166
Timor Leste,Asia,22889,131,22746,12,,16766,96,1365204
Togo,Africa,37023,273,36727,23,,4285,32,8639966
Tonga,Australia/Oceania,11049,11,10110,928,,102376,102,107926
Trinidad And Tobago,North America,154643,3871,141354,9418,18,109837,2749,1407928
Tunisia,Africa,1041197,28575,,,29,86414,2372,12048936
Turkey,Asia,15053168,98890,14951238,3040,975,174977,1149,86029250
Turks And Caicos Islands,North America,6046,36,5963,47,4,152323,907,39692
Uganda,Africa,164069,3596,100205,60268,2,3388,74,48429823
UK,Europe,22159805,176708,21677896,305201,253,323264,2578,68550166
Ukraine,Europe,5006460,108449,,,177,115771,2508,43244553
United Arab Emirates,Asia,902484,2302,886128,14054,,89240,228,10112950
Uruguay,South America,902540,7213,892434,2893,18,258152,2063,3496151
United States of America,North America,84209473,1026646,81244260,1938567,1941,251659,3068,334617623
Uzbekistan,Asia,238802,1637,236974,191,23,6947,48,34372515
Vanuatu,Australia/Oceania,8457,14,7974,469,,26386,44,320508
Venezuela,South America,522921,5711,516170,1040,230,18487,202,28285909
Viet Nam,Asia,10696630,43065,9355040,1298525,340,108080,435,98969721
Wallis And Futuna Islands,Australia/Oceania,454,7,438,9,,41755,644,10873
Western Sahara,Africa,10,1,9,0,,16,2,624681
Yemen,Asia,11819,2149,9009,661,23,381,69,31049015
Zambia,Africa,320591,3983,315997,611,,16575,206,19342381
Zimbabwe,Africa,249206,5482,242417,1307,12,16324,359,15265849
